STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2006,,1027.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2007,,1246.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2008,,1436.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2009,,1328.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2010,,1411.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2011,,1464.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2012,,1413.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2013,,1497.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2014,,1530.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2015,,1644.4,,,,,
