STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AM,Armenia,2024,,2991201,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1990,,7644818,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1991,,7710882,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1992,,7798899,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1993,,7882519,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1994,,7928746,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1995,,7943489,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1996,,7953067,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1997,,7964966,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1998,,7971116,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,1999,,7982461,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2000,,8002186,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2001,,8020946,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2002,,8063640,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2003,,8100273,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2004,,8142573,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2005,,8201359,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2006,,8254298,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2007,,8282984,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2008,,8307989,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2009,,8335003,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2010,,8351643,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2011,,8375164,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2012,,8408121,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2013,,8451860,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2014,,8507786,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2015,,8584926,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2016,,8700471,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2017,,8772865,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2018,,8822267,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2019,,8858775,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2020,,8901064,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2021,,8932664,,,,,
