scenario,iso3c,SSP,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
default,ALA,SSP1,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP2,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP3,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP4,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP5,gdp,million constant 2017 Int$PPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP1,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP2,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP3,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP4,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALA,SSP5,pop,million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default,ALB,SSP1,gdp,million constant 2017 Int$PPP,24215.001724163,31313.4826757434,34218.396285962,39228.9374391858,46346.5086854707,52296.8189128073,58277.3709247689,63309.0021933672,67520.4830179027,70419.2986182415,72079.1487280406,72777.2908093624,72509.9207596773,71091.2103672233,68963.1885062562,66412.9724412037,63488.896084828,60271.7028884752,56937.0070854479,53529.0399744863
default,ALB,SSP2,gdp,million constant 2017 Int$PPP,24215.001724163,31313.4826757434,34218.396285962,39228.9374391858,46346.5086854707,50609.690402107,53081.8280864509,54770.4491274811,56106.1404719945,56808.3547975281,57060.7927045693,57005.4103323426,56656.508555711,55961.7117167124,55066.269400098,53923.8134322163,52486.966482898,50723.4007172405,48847.9975496526,46964.2490767119
default,ALB,SSP3,gdp,million constant 2017 Int$PPP,24215.001724163,31313.4826757434,34218.396285962,39228.9374391858,46346.5086854707,50603.6929628837,53172.013534188,55084.8713227881,56779.853907813,58057.3216986861,59166.4008720329,60343.766578919,61669.8705470773,63247.6602667778,65160.3081651247,67075.3960377454,68766.0397852626,70375.5354585215,72177.9613390299,74415.6644100732
default,ALB,SSP4,gdp,million constant 2017 Int$PPP,24215.001724163,31313.4826757434,34218.396285962,39228.9374391858,46346.5086854707,50164.366996399,52513.7080468577,54068.8262880341,55077.158916927,55282.1951967822,54922.1533178679,54155.6028427339,52980.754198607,51269.2579887492,49202.6010265174,46775.6867995251,44049.8294274838,41081.8832962374,38046.0179034503,35085.2079619564
default,ALB,SSP5,gdp,million constant 2017 Int$PPP,24215.001724163,31313.4826757434,34218.396285962,39228.9374391858,46346.5086854707,52320.7376821558,58621.7094966969,63605.7870364806,67205.6088834535,69121.2259046658,69751.5802051276,69520.952734122,68442.9865981074,66375.4554767001,63634.3688534161,60553.9715262845,57364.8998737615,54130.3394061631,51168.4378735193,48523.4077269151
default,ALB,SSP1,pop,million,3.011487,2.913021,2.880703,2.837743,2.79891072736842,2.71419965672324,2.59953072076164,2.47060347577505,2.33043024057155,2.18342908273637,2.03000164477725,1.87607215368344,1.72485374951692,1.57644684290462,1.43326128889303,1.29509626622827,1.16245382804502,1.03623766998571,0.919259289604574,0.80981170624368
