country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Austria,2030,VNI,3011.877320833333,105.29007,9.286656,67696.05,1.3896873668433285,2.3308475213253437,11.12279788335717,24.854797488520475,20.02433978052137,5.142824860406124,497118893.85989904,170.19869831972878,8.010650821684475,4.666171866120869
Austria,2035,VNI,3214.2731095833333,25.93373,9.376463,71902.67,1.5272582473911278,2.33954006822369,11.18308258552192,24.291115628371365,20.049872294923837,5.116051797557286,509975015.344972,165.67599822842502,8.075667581612267,3.2933794044732605
Austria,2040,VNI,3310.11217125,30.7565075,9.443147,77148.44,1.4946832102340712,2.345945973813163,11.253499599177797,23.79965648280596,20.07554119007559,5.089194578514368,523234966.65429586,161.25912242686226,8.1050394153334,3.458097664967062
Austria,2045,VNI,2972.4488616666667,19.481685,9.480586,82108.34,1.227225212412697,2.3495245933601874,11.315807052672724,23.098223661563413,20.09594020950434,5.066461953037647,534018055.2229141,157.61215617837442,7.997477790971744,3.0195310721774975
Austria,2050,VNI,2917.1176254166667,77.49557,9.486695,86650.98,1.02073521384487,2.3501073108019828,11.369655145430864,22.618786496677615,20.110794222270627,5.048016000195168,542009572.3583006,154.71322281644882,7.978694038557019,4.363042190074935
Austria,2055,VNI,2699.0174333333334,84.6474375,9.453914,91261.13,0.9620932581113184,2.346976453740726,11.421491194116978,22.075166854898004,20.12101165603689,5.033117183128438,547575907.6808552,152.41047668730056,7.901013508761699,4.450239306050531
Austria,2060,VNI,3297.7026841666666,17.022902500000004,9.392821,96652.66,1.1273872761431214,2.341115279327011,11.478889352517514,21.996430058172226,20.129675145777288,5.019375554967836,552340434.8634677,150.3167852714674,8.101284544150182,2.8916433102418324
Belgium,2025,VNI,2381.5876041666666,65.296335,11.883495,63587.69763,1.156511989250375,2.555947034798879,11.060191023315756,37.19608102353452,20.371332417745197,5.2758161168449424,703326947.4874889,194.55000305907063,7.7759424047019605,4.194134616629184
Belgium,2026,VNI,1955.3516008333336,46.49954,11.933176,64080.79235,1.1967653346052654,2.559795792938671,11.067915551856691,35.621441214032636,20.377542791493703,5.264401734779755,707708462.0440311,192.33061120126123,7.57883658946803,3.860720026783177
Belgium,2027,VNI,2131.3659029166665,34.606615,11.976143,64967.62,1.7489675681946704,2.5631125176575864,11.08165966307642,34.834453651393005,20.384763874275137,5.252132678113799,712837379.3220642,189.97311865464752,7.6649873948173255,3.5725314352033304
Belgium,2028,VNI,2296.6427891666667,7.9293825,12.017863,65836.86,1.6909789539607534,2.566322491204821,11.09495033178505,33.99499038117533,20.391748669363235,5.240025507454191,717833831.6389252,187.67491496103796,7.739639002099131,2.1893472435613397
Belgium,2029,VNI,2226.2715883333335,20.957575,12.058341,66721.75,1.6854070122963138,2.569427086682928,11.108301253209609,33.007690416146005,20.39863431842797,5.227967946442207,722793639.6497082,185.4136159344258,7.708532612373773,3.089112182492702
Belgium,2030,VNI,1940.4086320833333,106.046305,12.097616,67631.11,1.693061169134058,2.5724302289130505,11.121838149254266,31.832004075941573,20.40545833873359,5.21592895298915,727742865.733954,183.1828387322123,7.571169087587049,4.673261497858944
Belgium,2035,VNI,2079.892209583333,16.589925,12.277743,72529.29,1.7082801566836503,2.586089174785054,11.191759546694977,30.97555174305902,20.43868948477138,5.182602853501567,752332910.0169145,177.14589572954637,7.640552027638999,2.8673262949541347
Belgium,2040,VNI,2138.2665929166665,32.4241425,12.434514,77557.69,1.4829219166864194,2.5978270672412145,11.258790219064386,30.175449148524294,20.46906596495028,5.1516268556513864,775536777.47057,171.71223976884892,7.668218335685831,3.509278468208664
Belgium,2045,VNI,1996.37620625,54.32595250000001,12.552813,82239.26,1.2674408128701131,2.60659412725552,11.317400242162591,29.232041165693865,20.49400123168795,5.125008795575458,795118112.2333063,167.1756208467037,7.599589701377012,4.0132421022371725
Belgium,2050,VNI,1830.6887991666667,144.59351,12.623315,86532.72,1.0805625512940065,2.611782663176806,11.368289443546924,28.342396385148543,20.513030984401027,5.103051667560356,810393899.5492005,163.52321215243398,7.512993661354117,4.9808185605933035
Belgium,2055,VNI,1887.0247654166667,51.078502500000006,12.646069,90874.28,0.9875736973192328,2.61345149480724,11.417243295986507,27.71203187488182,20.527750212790227,5.084454906003908,822410492.9937952,160.49188698339046,7.543286463895192,3.9527522436466684
Belgium,2060,VNI,2088.9145070833333,38.00911,12.637926,95839.99,1.1208374047089853,2.6128545880681955,11.47044574301212,27.314040867220303,20.54114554672357,5.066862414903769,833501071.3554914,157.6756870184175,7.644878438420442,3.6637952085954
Bulgaria,2025,VNI,2341.679585,131.7468425,6.43736,35153.67259,2.9274758683521807,2.0065159471651715,10.467512821263195,19.699839862686574,19.63759056465475,5.101480451848606,337673686.20442617,163.26491367100766,7.759050674994761,4.888443874528439
