,country,year,scenario,share_pu,Total_Heat_TJ_ML,COP,Demand_HP_TWh
506,Luxembourg,2027,KVE,0.05671521790031139,18289.717,4.0,0.07203509339345199
507,Luxembourg,2028,KVE,0.07705650365324943,17359.625,4.0,0.09289389375946168
508,Luxembourg,2029,KVE,0.10138649808552945,17295.588,4.0,0.12177354534577421
509,Luxembourg,2030,KVE,0.1301529385211881,17289.65,4.0,0.15627076023153752
510,Luxembourg,2035,KVE,0.3453156276621496,17295.588,4.0,0.4147525463227628
511,Luxembourg,2040,KVE,0.618056122168618,17359.625,4.0,0.745084931551983
512,Luxembourg,2045,KVE,0.8102349528331251,17289.65,4.0,0.9728249971458316
513,Luxembourg,2050,KVE,0.8968728956748442,17289.65,4.0,1.076848596970801
514,Luxembourg,2055,KVE,0.8968728956748442,17289.65,4.0,1.076848596970801
515,Luxembourg,2060,KVE,0.8968728956748442,17289.65,4.0,1.076848596970801
516,Netherlands,2025,KVE,0.08179937353873397,286897.84,4.0,1.6297267032931382
517,Netherlands,2026,KVE,0.09447132544562444,295509.16,4.0,1.9386903874998944
518,Netherlands,2027,KVE,0.10989858071196783,295509.16,4.0,2.255280329996063
519,Netherlands,2028,KVE,0.1285302954757533,286897.84,4.0,2.5607684467143703
520,Netherlands,2029,KVE,0.1508154903239332,286897.84,4.0,3.004766677519545
521,Netherlands,2030,KVE,0.17716427276946778,286897.84,4.0,3.5297256410550713
522,Netherlands,2035,KVE,0.37424374456757725,286897.84,4.0,7.45623099146826
523,Netherlands,2040,KVE,0.6240619300991551,286897.84,4.0,12.43347409634685
524,Netherlands,2045,KVE,0.8000892078272481,278581.6,4.0,15.478482096372566
525,Netherlands,2050,KVE,0.8794457174576635,276124.1,4.0,16.863622572724886
526,Netherlands,2055,KVE,0.8794457174576635,276124.1,4.0,16.863622572724886
527,Netherlands,2060,KVE,0.8794457174576635,275280.34,4.0,16.812092550217603
528,Norway,2025,KVE,0.16802015074439342,166710.2,3.3,2.3578008886355653
529,Norway,2026,KVE,0.16805658557711448,166575.75,3.3,2.3564100932689684
530,Norway,2027,KVE,0.16810094255298563,167946.45,3.3,2.376427459416739
531,Norway,2028,KVE,0.16815451310121002,167345.14,3.3,2.3686735980946407
532,Norway,2029,KVE,0.16821858826124975,166575.75,3.3,2.3586816184146335
533,Norway,2030,KVE,0.1682943471883559,166575.75,3.3,2.359743874320138
534,Norway,2035,KVE,0.16886099687582945,166575.75,3.3,2.367689168688252
535,Norway,2040,KVE,0.16957928273008474,165978.56,3.3,2.3692361440248466
536,Norway,2045,KVE,0.17008540242383766,164514.38,3.3,2.355344546231282
537,Norway,2050,KVE,0.1703135709944696,155224.75,3.3,2.225326851591805
538,Norway,2055,KVE,0.1703135709944696,160349.6,3.3,2.2987972829602517
539,Norway,2060,KVE,0.1703135709944696,161090.22,3.3,2.309415066474682
540,Poland,2025,KVE,0.043264211703490756,519469.03,3.5,1.783683956842727
541,Poland,2026,KVE,0.0459513142757506,716196.6,3.5,2.611918811808096
542,Poland,2027,KVE,0.04922268222393223,716196.6,3.5,2.7978666485321213
543,Poland,2028,KVE,0.05317355964480977,717946.56,3.5,3.0298235218303917
544,Poland,2029,KVE,0.057899161891397724,707407.94,3.5,3.2506609757053972
545,Poland,2030,KVE,0.06348645275278522,512207.1,3.5,2.580810548727405
546,Poland,2035,KVE,0.10527739068400892,522007.75,3.5,4.361556614958983
547,Poland,2040,KVE,0.1582516359993003,519141.7,3.5,6.52023978452708
548,Poland,2045,KVE,0.19557843097504968,519560.7,3.5,8.064672031029167
549,Poland,2050,KVE,0.21240607384493004,501031.8,3.5,8.446206551583645
550,Poland,2055,KVE,0.21240607384493004,497621.78,3.5,8.38872126867634
551,Poland,2060,KVE,0.21240607384493004,497220.44,3.5,8.381955788523618
552,Portugal,2025,KVE,0.17875293169380305,63904.44,4.3,0.7379267740549872
553,Portugal,2026,KVE,0.1837826062207097,73337.27,4.3,0.8706793152917299
554,Portugal,2027,KVE,0.18990589909645214,65568.07,4.3,0.8043775320832375
555,Portugal,2028,KVE,0.19730108665939147,65774.5,4.3,0.8383320755295407
556,Portugal,2029,KVE,0.20614639144579086,65774.5,4.3,0.8759157647317948
557,Portugal,2030,KVE,0.2166045908498817,91741.81,4.3,1.2837014219365936
558,Portugal,2035,KVE,0.2948281831080062,65935.22,4.3,1.2557855500655182
559,Portugal,2040,KVE,0.3939845067240212,65935.22,4.3,1.6781301070951835
560,Portugal,2045,KVE,0.46385218940898193,66606.67,4.3,1.9958431301223167
561,Portugal,2050,KVE,0.495349895363444,66342.56,4.3,2.1229187063256005
562,Portugal,2055,KVE,0.495349895363444,65178.91,4.3,2.085682625083661
563,Portugal,2060,KVE,0.495349895363444,62986.863,4.3,2.015538548139343
564,Romania,2025,KVE,0.004786159747460917,256532.42,3.5,0.09744485908950709
565,Romania,2026,KVE,0.010506113469704337,258717.1,3.5,0.21572310845828227
566,Romania,2027,KVE,0.017469775171792833,278341.0,3.5,0.38591705640823043
567,Romania,2028,KVE,0.02587988807294288,257340.05,3.5,0.5285659910002698
568,Romania,2029,KVE,0.035939134206401914,259349.0,3.5,0.7397443326886392
569,Romania,2030,KVE,0.047832630751631536,259349.0,3.5,0.9845511946084872
570,Romania,2035,KVE,0.13679173244111906,257968.61,3.5,2.800632945436918
571,Romania,2040,KVE,0.24955640127153395,259981.22,3.5,5.149204928708905
572,Romania,2045,KVE,0.32901281728820864,258214.0,3.5,6.742517229307723
573,Romania,2050,KVE,0.36483331013571707,258888.62,3.5,7.496126364229078
574,Romania,2055,KVE,0.36483331013571707,257787.84,3.5,7.464253392768204
575,Romania,2060,KVE,0.36483331013571707,249323.33,3.5,7.2191636187344
576,Slovakia,2025,KVE,0.06317458178479567,80347.78,3.5,0.4028521890407539
577,Slovakia,2026,KVE,0.07088433830969697,102091.07,3.5,0.5743379438013472
578,Slovakia,2027,KVE,0.08027045205325802,109054.81,3.5,0.6947523441624917
579,Slovakia,2028,KVE,0.09160619460702249,114423.75,3.5,0.8318987847278716
580,Slovakia,2029,KVE,0.10516475509177522,113941.56,3.5,0.9510029120319246
581,Slovakia,2030,KVE,0.12119564748114776,106812.266,3.5,1.027395395812542
582,Slovakia,2035,KVE,0.24110099077663288,107048.75,3.5,2.048377860920355
583,Slovakia,2040,KVE,0.39309315426438984,106575.484,3.5,3.3249280679459505
584,Slovakia,2045,KVE,0.5001901084665938,107133.11,3.5,4.252930312259183
585,Slovakia,2050,KVE,0.5484714918250493,99479.805,3.5,4.330304627472182
586,Slovakia,2055,KVE,0.5484714918250493,106248.71,3.5,4.624951494047528
587,Slovakia,2060,KVE,0.5484714918250493,106544.9,3.5,4.637844552972266
588,Slovenia,2025,KVE,0.09365029440107764,35596.24,4.3,0.21534872316677617
589,Slovenia,2026,KVE,0.0970275306756475,36189.14,4.3,0.22683093575542576
590,Slovenia,2027,KVE,0.10113909032213048,36290.023,4.3,0.23710207684766085
591,Slovenia,2028,KVE,0.10610467916116954,35894.46,4.3,0.24603168193098796
592,Slovenia,2029,KVE,0.11204396688733319,35733.656,4.3,0.25863957945476296
593,Slovenia,2030,KVE,0.11906625236629102,35733.656,4.3,0.27484965317444193
594,Slovenia,2035,KVE,0.17159043696075174,35820.766,4.3,0.39706076908413185
