,country,year,scenario,share_pu,panel_predictions,COP,Demand_HP_TWh
146,Ireland,2027,KKO,0.06946403977609317,81892.49139042111,4.104232500136062,0.3850079209639069
147,Ireland,2028,KKO,0.08449767018279318,78962.49408979712,4.134058211744564,0.44831833788886116
148,Ireland,2029,KKO,0.1024792347964822,75143.061551583,4.164520090561117,0.5136381784305178
149,Ireland,2030,KKO,0.12373964276079087,73125.17761484811,4.1957848808133615,0.5990458686458511
150,Ireland,2035,KKO,0.2827598927658671,69810.19353417352,4.2644330959516825,1.2857982913254757
151,Ireland,2040,KKO,0.4843341610374098,65507.991338912805,4.322423290186069,2.0389641473681333
152,Ireland,2045,KKO,0.6263677348878084,63000.685013484035,4.372732915724056,2.506797181077855
153,Ireland,2050,KKO,0.6903992237375769,60219.99499446247,4.4199369293593795,2.612897880051098
154,Ireland,2055,KKO,0.6903992237375769,56263.17403928473,4.465995144398284,2.4160380849431244
155,Ireland,2060,KKO,0.6903992237375769,54265.76752482085,4.509384477915039,2.3078441536845893
156,Italy,2025,KKO,0.04979796636502005,959076.7706684453,4.029426547663288,3.292450358097889
157,Italy,2026,KKO,0.05877334630394605,943369.4463328046,4.0418342084292815,3.8104935299925065
158,Italy,2027,KKO,0.0697002720410093,915094.9334855838,4.0564496584592,4.367692274551565
159,Italy,2028,KKO,0.08289687507007704,893754.9637563871,4.0724028344498375,5.0536294463571485
160,Italy,2029,KKO,0.09868119087596722,842203.055889075,4.089770579323959,5.644815447505205
161,Italy,2030,KKO,0.11734369331556244,815575.3677137189,4.1087443331085645,6.470118501867866
162,Italy,2035,KKO,0.25693253886579315,783631.4981312861,4.13273636687983,13.532897420623664
163,Italy,2040,KKO,0.4338755344890483,749932.6444455477,4.155389012147195,21.7506997131009
164,Italy,2045,KKO,0.5585533827663444,725456.15107715,4.175924206074167,26.95384617183761
165,Italy,2050,KKO,0.614760574033597,682189.7622968735,4.192220201157643,27.788468861232005
166,Italy,2055,KKO,0.614760574033597,643191.6056684022,4.2085875409665485,26.09801697556705
167,Italy,2060,KKO,0.614760574033597,621276.3399481789,4.225217501862985,25.109568600882092
168,Latvia,2025,KKO,0.002924995160548103,39534.81423714741,3.246358569699748,0.009894773707733413
169,Latvia,2026,KKO,0.0043718141825699955,38142.453258044465,3.253334837539745,0.014237674266776692
170,Latvia,2027,KKO,0.006133219729318965,37525.825651967556,3.2614609801138243,0.01960216735612888
171,Latvia,2028,KKO,0.008260494164323177,36120.95779864429,3.270771674026207,0.025340347005615646
172,Latvia,2029,KKO,0.0108049043745828,35026.37082506229,3.2813077959405907,0.03203808857872626
173,Latvia,2030,KKO,0.013813274350212745,33943.1474036698,3.293117001807636,0.03954932592394274
174,Latvia,2035,KKO,0.03631480613810455,32550.150973357406,3.3050907986109515,0.099346104270107
175,Latvia,2040,KKO,0.06483777604280762,31222.861432794038,3.3172334117629636,0.1695205215467006
176,Latvia,2045,KKO,0.08493567537852492,30205.96517854785,3.32954922519071,0.2140399895485366
177,Latvia,2050,KKO,0.09399619805870629,28381.333394525493,3.3420427891842994,0.22173210312130306
178,Latvia,2055,KKO,0.09399619805870629,27355.75952846734,3.354718828730195,0.21291214637249103
179,Latvia,2060,KKO,0.09399619805870629,26443.70956510326,3.367582252365354,0.2050274231891843
180,Lithuania,2025,KKO,0.08512276772216057,46411.802676943575,3.265880801158903,0.33602480883856184
181,Lithuania,2026,KKO,0.08628733091211942,44502.28050587481,3.2791905347306973,0.32528208847784873
182,Lithuania,2027,KKO,0.08770510883120332,43814.865386200116,3.294013856931304,0.32405479421027494
183,Lithuania,2028,KKO,0.0894173793116428,42005.69779640829,3.3079094404815117,0.31540896151861936
184,Lithuania,2029,KKO,0.09146540772841254,40406.18312320713,3.3216288461277226,0.3090659052227645
185,Lithuania,2030,KKO,0.09388688331179275,39181.62713551545,3.335462288654442,0.306357737988923
186,Lithuania,2035,KKO,0.11199865488723675,37386.29098560573,3.3480894390809626,0.34739665858508584
187,Lithuania,2040,KKO,0.13495715924315937,35911.10046558259,3.3609019200485832,0.400558823149064
188,Lithuania,2045,KKO,0.15113421622514914,34724.688538043694,3.373904753601174,0.4320816654367654
189,Lithuania,2050,KKO,0.15842714715467274,32637.524298772354,3.3865248409786446,0.4241212606207634
190,Lithuania,2055,KKO,0.15842714715467274,31382.535644028747,3.398871393115108,0.40633141429064407
191,Lithuania,2060,KKO,0.15842714715467274,30394.4241860556,3.4114037164509585,0.3920919292926527
