freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,BPRM_DW,CPA_F410011,NSA,I15,TR,223.4,228.3,225.8,208.4,184.2,187.1,167.5,138.1,113.8,115.0,69.6,70.2,102.6,154.7,133.7,112.8,103.6,88.4,116.1,92.8,87.4,104.1,111.4,100.0,98.2,115.0,97.7,71.5,144.0,243.0,230.5,249.3,,
A,BPRM_DW,CPA_F410011,NSA,I15,UK,,,,,,,118.4,118.8,113.4,111.9,106.0,102.7,100.9,91.8,89.1,91.5,55.3,43.3,56.1,64.9,60.2,75.4,79.5,100.0,109.1,114.3,120.7,115.8,,,,,,
A,BPRM_DW,CPA_F410011,NSA,I21,AL,,,,,,,,,,,,,,,,,,,,,,,,4.2,28.3,46.9,68.4,45.3,53.3,100.0,103.5,142.5,68.4,73.1
A,BPRM_DW,CPA_F410011,NSA,I21,AT,,,,,,,,,72.0,65.7,79.6,74.6,80.9,81.4,87.6,86.0,82.4,77.2,85.1,88.1,77.1,77.6,81.1,81.0,86.2,84.9,87.7,88.1,91.3,100.0,80.4,50.4,43.7,47.9
A,BPRM_DW,CPA_F410011,NSA,I21,BA,,,,,,,,,,,,,,,,,,,,,,74.8,67.7,78.0,89.7,100.4,101.0,108.1,92.2,100.0,107.7,123.8,,
A,BPRM_DW,CPA_F410011,NSA,I21,BE,,,,97.5,114.5,116.3,83.5,97.2,86.4,81.2,76.0,80.7,89.0,99.2,95.6,85.8,86.4,78.3,87.6,75.2,78.5,75.2,78.6,67.2,71.3,68.1,84.6,85.4,88.7,100.0,91.0,79.7,65.8,65.9
A,BPRM_DW,CPA_F410011,NSA,I21,BG,,,,,,,,,17.5,23.4,28.4,42.0,67.0,97.2,117.7,126.5,124.7,88.3,69.3,69.3,62.6,60.0,61.5,61.9,64.6,78.2,78.6,81.1,82.3,100.0,115.8,118.8,113.3,127.8
A,BPRM_DW,CPA_F410011,NSA,I21,CY,,,,,,,,,95.7,110.8,116.0,159.4,198.5,214.0,212.3,197.4,176.3,175.4,155.1,105.0,77.7,56.8,45.0,46.0,56.9,64.8,81.5,91.2,87.4,100.0,88.9,81.7,79.4,111.0
A,BPRM_DW,CPA_F410011,NSA,I21,CZ,,,,,,,,,75.2,73.4,76.3,91.6,93.7,91.7,100.9,101.4,109.2,90.7,80.0,82.3,69.9,60.0,59.6,65.6,75.1,87.8,90.7,94.0,91.5,100.0,95.0,70.3,63.3,61.7
A,BPRM_DW,CPA_F410011,NSA,I21,DE,,,166.6,143.5,158.5,176.0,193.9,201.5,168.0,145.7,146.1,165.6,143.5,129.5,128.3,83.8,78.1,79.7,83.7,100.1,94.2,95.2,93.8,101.4,101.7,96.6,95.6,96.8,99.1,100.0,83.1,50.7,40.4,47.3
A,BPRM_DW,CPA_F410011,NSA,I21,DK,,,,,,,61.9,56.2,52.6,62.3,75.4,78.5,85.4,104.2,117.1,81.7,51.3,27.1,45.2,42.6,32.4,31.4,37.0,51.9,62.5,63.7,71.0,71.8,80.4,100.0,77.0,55.7,56.9,62.5
A,BPRM_DW,CPA_F410011,NSA,I21,EA19,,,,,,,,,,,,,,169.2,171.8,151.1,122.6,97.6,101.1,100.7,86.9,78.6,73.8,79.5,85.8,91.2,91.5,90.7,87.2,100.0,92.1,70.8,,
A,BPRM_DW,CPA_F410011,NSA,I21,EA20,,,,,,,,,,,,,,168.7,171.2,150.6,122.4,97.7,101.0,100.5,86.7,78.3,73.5,79.2,85.4,91.0,91.5,90.8,87.2,100.0,92.2,71.3,65.5,70.8
A,BPRM_DW,CPA_F410011,NSA,I21,EA21,,,,,,,,,,,,,,168.0,170.7,150.4,122.5,97.6,100.7,100.2,86.5,78.1,73.4,79.0,85.2,90.8,91.4,90.7,87.2,100.0,92.5,71.8,66.0,71.4
A,BPRM_DW,CPA_F410011,NSA,I21,EE,,,,,,,,23.1,21.9,26.8,54.1,68.8,116.1,116.2,157.7,135.6,86.5,48.2,40.4,36.6,37.0,45.0,47.3,53.3,61.8,73.4,67.2,72.9,76.0,100.0,80.3,68.9,63.1,66.1
A,BPRM_DW,CPA_F410011,NSA,I21,EL,,,,347.1,403.0,415.7,419.3,348.3,366.1,427.3,442.1,438.2,428.1,499.3,439.7,412.1,344.4,297.2,250.2,174.9,107.2,67.0,52.9,51.7,49.3,56.4,58.5,61.0,71.9,100.0,94.7,96.9,103.8,99.2
A,BPRM_DW,CPA_F410011,NSA,I21,ES,,,,371.5,354.8,426.1,499.9,574.5,618.2,562.4,559.4,648.3,707.0,780.3,859.8,667.9,333.0,167.9,152.1,136.6,95.8,74.8,70.2,80.6,102.5,115.2,132.0,130.9,87.7,100.0,171.1,196.9,237.6,266.7
A,BPRM_DW,CPA_F410011,NSA,I21,EU27_2020,,,,,,,,,,,,,,133.2,138.4,128.7,109.7,88.5,89.3,88.1,76.4,69.3,66.4,72.1,78.8,84.4,85.8,86.5,84.8,100.0,88.1,67.6,64.7,69.8
A,BPRM_DW,CPA_F410011,NSA,I21,FI,,,,84.5,94.8,124.4,145.3,163.6,161.1,142.9,160.4,189.6,200.3,215.3,213.0,193.0,148.2,129.1,159.0,148.2,124.0,99.8,87.0,77.2,80.9,82.8,80.5,72.9,77.6,100.0,75.6,44.8,46.3,46.0
