country,year,scenario,total_floor_m2,thermal_index,ln_total_floor,ln_thermal_index,hist_method,share_0-1945,share_1946-1969,share_1970-1979,share_1980-1989,share_1990-1999,share_2000-2010,share_2011-2020,share_post-2020,share_ren_0-1945,share_ren_1946-1969,share_ren_1970-1979,share_ren_1980-1989,share_ren_1990-1999,share_ren_2000-2010
Spain,2012,HIST,3543198517.290235,158.45936127211397,21.988295692389116,5.071789101498247,permits,0.14406429817741248,0.18101280797175207,0.13510162557931474,0.1684725517136159,0.1715526457334565,0.17824787121524588,0.021548199609202404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2013,HIST,3566513602.6479588,157.5765069116579,21.994854373960234,5.066237170307272,permits,0.14269315055905876,0.17946982838231518,0.1340842180446593,0.16728752391273594,0.17043116828398056,0.17708262560139754,0.028951485215852713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2014,HIST,3577648143.8210063,157.06881664279945,21.997971478690125,5.063030486575456,permits,0.14182230641167848,0.178553450574876,0.1335332473077982,0.166683499606637,0.16990074360716986,0.17653149991588385,0.0329752525759566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2015,HIST,3589940295.549448,156.53031708306582,22.00140140882069,5.059617929158268,permits,0.14091268898801362,0.17758618965623285,0.1329429461505073,0.16602970981319987,0.1693189941775809,0.17592704641438536,0.0372824248000802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2016,HIST,3604079943.981478,155.94155846698166,22.005332358738787,5.055873496986339,permits,0.1399387759901011,0.1765356985507829,0.13228895850425174,0.16529564726744334,0.1686547161682837,0.17523684347087437,0.0420493600482628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2017,HIST,3626966125.3788695,155.10372596668586,22.01166235790907,5.05052069633765,permits,0.13863859405935877,0.17507091355484344,0.13132276004465362,0.16417050427187493,0.16759050373995568,0.17413109777363223,0.04907562655568136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2018,HIST,3653999450.0152307,154.15844401976995,22.019088144660078,5.044446814291076,permits,0.1372000676870344,0.17342813788707684,0.1302208458102148,0.16287444634100492,0.16635062164485723,0.17284282650818886,0.05708305412162298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2019,HIST,3689319332.0062594,152.99557682537204,22.028707815383598,5.036923880087978,permits,0.13547891629187295,0.17142427935933366,0.12884519590056065,0.16123450215392798,0.16475805570060334,0.17118810711800114,0.06707094347570024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2020,HIST,3725796728.0,151.82350362244455,22.03854655288724,5.029283684422027,permits,0.13375005304368823,0.16940645882707964,0.1274561538559599,0.15957610852247225,0.16314499270235014,0.1695120907304635,0.07715414231798638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2021,HIST,3757912374.3415003,150.64910801599515,22.04712942083282,5.021569352257715,permits,0.13220918530785586,0.16762277008930512,0.12624052878884098,0.15813324253805433,0.1617507327074152,0.16806341662255223,0.07649477219392903,0.009485351752047198,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2022,HIST,3790495590.8630667,149.48089722970934,22.055762610516563,5.0138361474265505,permits,0.13067949295696316,0.1658495158499791,0.12503020596465372,0.15669553736607755,0.16036031844099793,0.16661873833131063,0.07583722078266483,0.018928970307353146,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2023,HIST,3822396515.9073253,148.3532295969533,22.06414342330354,5.006314168780196,permits,0.1292001025243596,0.16413643959960617,0.12386274318191802,0.15531009515933802,0.1590219846293773,0.1652281730510327,0.07520429913634046,0.028036162718027724,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2024,HIST,3853385161.951075,147.2711987115527,22.072217862024914,4.999043020650608,permits,0.1277766013479555,0.16249083323718877,0.12274378127096323,0.15398407200450814,0.15774314127794878,0.16389941997913854,0.0745995115771014,0.03676263930519558,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2025,KKO,3912070449.5206566,144.5445034030129,22.087332597781124,4.980481905157092,,0.11548223469745086,0.15973318841799444,0.1207815893151215,0.15159830732151716,0.15537682356269397,0.1614407514254723,0.07348043822554944,0.052106667034200416,0.010000000000000002,0.0,0.0,0.0,0.0,0.0
Spain,2026,KKO,3963759637.2542467,141.90364702076116,22.100458815413813,4.962170606099035,,0.10163436613505276,0.15733489623939928,0.11908733715407761,0.14954658730299333,0.15335064071167115,0.1593354922594388,0.07252222064583314,0.06534847278363319,0.02183998676790077,0.0,0.0,0.0,0.0,0.0
Spain,2027,KKO,4010404547.4563675,139.27827807562593,22.112157958078186,4.943628150286646,,0.08615090270732338,0.1551939283077019,0.1175845332207678,0.14773331125738481,0.1515670234279808,0.15748226532422446,0.07167871659788644,0.07708811060199067,0.03552120855473986,0.0,0.0,0.0,0.0,0.0
Spain,2028,KKO,4055551415.2570815,136.56620235964198,22.123352499549178,4.924105272942802,,0.06893628530342044,0.1531593589504043,0.11615929301749463,0.14601568257228625,0.14987976177869974,0.15572915451744185,0.07088078082762461,0.08821927803028778,0.051020405002340334,0.0,0.0,0.0,0.0,0.0
Spain,2029,KKO,4097248771.7316465,133.8123708937426,22.133581554373514,4.903883966476168,,0.050030022340765555,0.15129746768568397,0.1148621725032013,0.14445742839323916,0.14835444803687195,0.15414431199721285,0.07015943307696902,0.09834504486226817,0.06834967110378809,0.0,0.0,0.0,0.0,0.0
Spain,2030,KKO,4136024383.221458,130.9971612823727,22.14300086973996,4.882780416918555,,0.029412303290986076,0.14957928183975824,0.11367154367348646,0.14303157506542924,0.14696361135244634,0.15269919480215588,0.06950168189678399,0.10763504812914025,0.08750575994981347,0.0,0.0,0.0,0.0,0.0
Spain,2035,KKO,4296545092.179782,125.5323716353427,22.181077069991183,4.840498177685851,,0.008228507083107671,0.14370295587586296,0.1093153028675343,0.1376190120933156,0.14147298979972295,0.14699428946981782,0.06690507019772986,0.14177807372038723,0.1039837988925217,0.0,0.0,0.0,0.0,0.0
Spain,2040,KKO,4431191617.055334,120.99673279315222,22.21193437310694,4.803994263990657,,0.0,0.1270122537923985,0.10588764613601137,0.13337059168914858,0.13717418079156146,0.14252770983072416,0.0648720876555157,0.16863386323718876,0.10847620648452735,0.012045460382924127,0.0,0.0,0.0,0.0
Spain,2045,KKO,4537897112.587565,117.25252894829741,22.23572955085391,4.772822413598302,,0.0,0.10377759765455807,0.10329437398602162,0.13016935771686458,0.13394862530353827,0.1391762698295009,0.06334666561800613,0.18894072705641618,0.10560768751772376,0.0317386953173705,0.0,0.0,0.0,0.0
Spain,2050,KKO,4629273709.535644,113.91251145555707,22.255665826764776,4.744171068879258,,0.0,0.08152568763827567,0.10115420508657319,0.12753616268969645,0.1313046318146896,0.13642908858447078,0.06209627449936089,0.20569142196406334,0.10321254256553664,0.051049985157333534,0.0,0.0,0.0,0.0
Spain,2055,KKO,4705997040.713196,110.9146585775487,22.272103498631154,4.717736603856904,,0.0,0.060036155937261644,0.09940555161146851,0.1253941725731652,0.129163931626247,0.13420484278593717,0.06108389965252405,0.21936893289750248,0.10122524692267869,0.07011726599321522,0.0,0.0,0.0,0.0
Spain,2060,KKO,4773681814.51269,108.13179341306268,22.28638371318915,4.692556265720953,,0.0,0.039066549298485215,0.09789811043994485,0.12355443359386924,0.12733255034972424,0.13230198776130037,0.0602178071705738,0.23115308489841482,0.09949063087579926,0.08898484561188834,0.0,0.0,0.0,0.0
Spain,2025,KVE,3912070449.5206566,144.5445034030129,22.087332597781124,4.980481905157092,,0.11548223469745086,0.15973318841799444,0.1207815893151215,0.15159830732151716,0.15537682356269397,0.1614407514254723,0.07348043822554944,0.052106667034200416,0.010000000000000002,0.0,0.0,0.0,0.0,0.0
Spain,2026,KVE,3963759637.2542467,141.99114702076113,22.100458815413813,4.962782719397743,,0.10263436613505277,0.15733489623939928,0.11908733715407761,0.14954658730299333,0.15335064071167115,0.1593354922594388,0.07252222064583314,0.06534847278363319,0.020839986767900772,0.0,0.0,0.0,0.0,0.0
Spain,2027,KVE,4010404547.456367,139.53950091854944,22.112157958078186,4.945488594587613,,0.08913630662644895,0.15519392830770193,0.11758453322076781,0.14773331125738481,0.1515670234279808,0.1574822653242245,0.07167871659788645,0.07708811060199056,0.0325358046356143,0.0,0.0,0.0,0.0,0.0
Spain,2028,KVE,4055551415.257081,137.08624229500046,22.123352499549178,4.92787843412759,,0.07487959885037464,0.1531593589504043,0.11615929301749464,0.14601568257228625,0.14987976177869977,0.15572915451744188,0.07088078082762463,0.08821927803028778,0.04507709145538614,0.0,0.0,0.0,0.0,0.0
Spain,2029,KVE,4097248771.7316465,134.67557418377797,22.133581554373514,4.910266551993419,,0.059895202798312015,0.15129746768568397,0.1148621725032013,0.14445742839323916,0.14835444803687195,0.15414431199721285,0.07015943307696902,0.09834504486226817,0.05848449064624162,0.0,0.0,0.0,0.0,0.0
Spain,2030,KVE,4136024383.221458,132.28720662961408,22.14300086973996,4.892506248307376,,0.04415567868803042,0.14957928183975824,0.11367154367348646,0.14303157506542924,0.14696361135244634,0.15269919480215588,0.06950168189678399,0.10763504812914038,0.0727623845527691,0.0,0.0,0.0,0.0,0.0
Spain,2035,KVE,4296545092.179782,127.20799480651556,22.181077069991183,4.853653904527443,,0.02737848618222598,0.14370295587586296,0.1093153028675343,0.1376190120933156,0.14147298979972295,0.14699428946981782,0.06690507019772986,0.14177807372038723,0.08483381979340339,0.0,0.0,0.0,0.0,0.0
Spain,2040,KVE,4431191617.055334,122.96974800608335,22.21193437310694,4.820037568147201,,0.01146692173835141,0.13905771417532264,0.10588764613601137,0.13337059168914858,0.13717418079156146,0.14252770983072416,0.0648720876555157,0.16863386323718876,0.09700928474617593,0.0,0.0,0.0,0.0,0.0
Spain,2045,KVE,4537897112.587565,119.49867122323397,22.23572955085391,4.7916387256768305,,0.0,0.13167998616308696,0.10329437398602162,0.13016935771686458,0.13394862530353827,0.1391762698295009,0.06334666561800613,0.18894072705641618,0.10560768751772373,0.0038363068088416133,0.0,0.0,0.0,0.0
Spain,2050,KVE,4629273709.535644,116.51241382514566,22.255665826764776,4.766543977579398,,0.0,0.1138226114840966,0.10115420508657319,0.12753616268969645,0.1313046318146896,0.13642908858447078,0.06209627449936089,0.20569142196406334,0.10321254256553662,0.01875306131151261,0.0,0.0,0.0,0.0
Spain,2055,KVE,4705997040.713196,113.86955890071202,22.272103498631154,4.743797214163103,,0.0,0.09674299224984968,0.09940555161146851,0.1253941725731652,0.129163931626247,0.13420484278593717,0.06108389965252405,0.21936893289750248,0.10122524692267866,0.033410429680627185,0.0,0.0,0.0,0.0
Spain,2060,KVE,4773681814.51269,111.44147097773931,22.28638371318915,4.722432828287686,,0.0,0.08018055631310225,0.09789811043994485,0.12355443359386924,0.12733255034972424,0.13230198776130037,0.0602178071705738,0.23115308489841463,0.09949063087579924,0.047870838597271315,0.0,0.0,0.0,0.0
Spain,2025,VNI,3912070449.5206566,144.5445034030129,22.087332597781124,4.980481905157092,,0.11548223469745086,0.15973318841799444,0.1207815893151215,0.15159830732151716,0.15537682356269397,0.1614407514254723,0.07348043822554944,0.052106667034200416,0.010000000000000002,0.0,0.0,0.0,0.0,0.0
Spain,2026,VNI,3963759637.2542467,142.07864702076114,22.100458815413813,4.9633944582429566,,0.10363436613505277,0.15733489623939928,0.11908733715407761,0.14954658730299333,0.15335064071167115,0.1593354922594388,0.07252222064583314,0.06534847278363319,0.019839986767900775,0.0,0.0,0.0,0.0,0.0
