nuts0,country,year,tas_annual,hdd_annual,cdd_annual,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
BG,Bulgaria,2082,285.19353279029144,2230.5076232270326,323.7991825869709,313.66572046199707,289.4950601735786,266.2916125303611,300.0735177068708,281.2503039589142,258.46211201286076
BG,Bulgaria,2083,285.15144784582253,2264.4436343466623,311.9792117127597,309.11970385364674,289.54245631640396,266.47519394833455,297.1035204727826,281.17602763226466,259.06275032169276
BG,Bulgaria,2084,285.2387086850581,2170.773194964208,265.6278146007231,308.91799465222147,289.44787997893957,267.4674444872291,296.1749776935047,281.3237515616531,259.31079156044467
BG,Bulgaria,2085,285.22993164362856,2198.0578417240254,273.91270282371835,308.06475358827896,289.5453017468433,268.491015996476,296.38950301758666,281.26473866931366,259.8025151926703
BG,Bulgaria,2086,285.2438866544612,2226.9239997086565,313.18674457172114,308.9876779372207,289.3474679993349,267.95238329346853,295.92638817638476,281.40084190037913,259.3245705270952
BG,Bulgaria,2087,284.9215172444408,2418.534859855358,335.0078618923799,310.0556715042692,289.1244832364074,264.48245100040594,297.6565039116439,280.9764032733893,256.28477431521196
BG,Bulgaria,2088,286.05849973334233,2055.2245290758874,369.6186095581945,310.3380156022624,290.44796474566465,271.0387792943584,297.47914829419017,282.01973330765304,264.7690710952166
BG,Bulgaria,2089,286.1405382208165,1882.4572359031547,292.6910777740148,307.5197130985639,290.5579327832234,270.7981842703935,295.9199170286035,282.13442586569266,265.8973491290107
BG,Bulgaria,2090,285.96362138573943,2003.1687240693243,330.96102589188905,310.4742714106314,290.3451609139662,271.54688946709524,297.10638670356286,281.961399945836,265.92476132124085
BG,Bulgaria,2091,287.0062210890775,1862.026898035758,460.454224990847,313.57160777111886,291.74455697768514,266.31472244080203,298.0851001076304,282.6751954821761,258.2235706156963
BG,Bulgaria,2092,287.0610764708873,1772.5300792308294,416.2857730939215,312.31815821710995,291.79174367449156,269.599825206752,297.5478503928584,282.79806122043715,263.47048380918403
BG,Bulgaria,2093,286.9218435228944,1775.582933516467,370.01751002721824,310.2830314316178,291.2901443963472,270.37887865726435,297.86443577855624,282.9764925303583,264.34355861171383
BG,Bulgaria,2094,285.7475762046266,2029.592426089372,299.9945455995531,309.0753172757286,290.04538566038923,269.87617697501713,296.5187215419955,281.8427474113207,263.50312455574317
BG,Bulgaria,2095,284.9759291122961,2177.244242597002,207.5601097741691,306.68008676460676,289.18670007439925,267.2589072643717,294.459514762707,281.1443192901449,260.8584465806757
BG,Bulgaria,2096,286.48726039091974,1777.6014298087641,306.168616078856,310.59624580608056,290.9644822384393,271.2673477163782,297.15368549757284,282.4618403478547,265.9112749793378
