scenario,ssp,sp_code,nuts0,country,year,hdd_annual,cdd_annual,tas_annual
VWE,SSP5,SP585,FI,Finland,2025,4946.184738333333,23.78519,2.665055720319635
VWE,SSP5,SP585,FI,Finland,2026,4392.3254308333335,17.382395000000002,4.141199293378995
VWE,SSP5,SP585,FI,Finland,2027,4378.274802083333,5.9115225,4.061575956621005
VWE,SSP5,SP585,FI,Finland,2028,4339.036660416667,36.2573775,4.490394297586521
VWE,SSP5,SP585,FI,Finland,2029,4524.332321666667,0.5750000000000002,3.439927158675799
VWE,SSP5,SP585,FI,Finland,2030,4778.6049625,2.532569999999999,2.881160444063927
VWE,SSP5,SP585,FI,Finland,2035,3962.4097391666664,22.56385,5.495831751141552
VWE,SSP5,SP585,FI,Finland,2040,3945.34038375,45.397332500000005,5.618163736338798
VWE,SSP5,SP585,FI,Finland,2045,4551.950422083333,3.210377499999999,3.4089289315068494
VWE,SSP5,SP585,FI,Finland,2050,3905.1558604166667,1.7925350000000009,5.1277299748858445
VWE,SSP5,SP585,FI,Finland,2055,4285.155335416666,15.390767499999999,4.328078019406393
VWE,SSP5,SP585,FI,Finland,2060,4344.2464129166665,5.77157,4.134588066939891
VWE,SSP5,SP585,FR,France,2025,1871.3459095833334,33.116555,11.371489985159817
VWE,SSP5,SP585,FR,France,2026,1700.2760416666667,94.8804925,12.612803429223746
VWE,SSP5,SP585,FR,France,2027,1672.1549808333334,90.50915499999999,12.45456614497717
VWE,SSP5,SP585,FR,France,2028,2054.23314625,62.411735,11.072062877959928
VWE,SSP5,SP585,FR,France,2029,1887.3163858333332,118.20706,11.96808402739726
VWE,SSP5,SP585,FR,France,2030,1632.59667,101.047535,12.7724768413242
VWE,SSP5,SP585,FR,France,2035,1809.8722245833333,156.42497583333332,12.513162340182648
VWE,SSP5,SP585,FR,France,2040,1712.0223895833333,123.60406,12.652138896857924
VWE,SSP5,SP585,FR,France,2045,1913.6250216666667,122.10479,11.853821131278538
VWE,SSP5,SP585,FR,France,2050,1642.68747125,105.08561999999999,12.367251444063927
VWE,SSP5,SP585,FR,France,2055,1781.22359875,115.0873975,12.277180980593608
VWE,SSP5,SP585,FR,France,2060,1557.9273575,215.22854291666667,13.368574809881602
VWE,SSP5,SP585,DE,Germany,2025,2578.96787625,16.4694175,9.078326424657535
VWE,SSP5,SP585,DE,Germany,2026,2303.9519158333333,50.75209,10.343062136986301
VWE,SSP5,SP585,DE,Germany,2027,2185.8148004166665,48.222702500000004,10.490664908675798
VWE,SSP5,SP585,DE,Germany,2028,2550.6855229166667,36.02999,9.3794493715847
VWE,SSP5,SP585,DE,Germany,2029,2407.7001145833333,77.4683875,10.172543837899543
VWE,SSP5,SP585,DE,Germany,2030,2238.873610416667,37.2027275,10.307592211187215
VWE,SSP5,SP585,DE,Germany,2035,2323.0760875,63.9649275,10.363009874429224
VWE,SSP5,SP585,DE,Germany,2040,2274.7462141666665,74.211765,10.577920917577414
VWE,SSP5,SP585,DE,Germany,2045,2522.1796804166665,103.4476475,9.947717003424657
VWE,SSP5,SP585,DE,Germany,2050,2379.710917916667,59.353739999999995,9.951748488584476
VWE,SSP5,SP585,DE,Germany,2055,2509.42044125,37.010165,9.484318976027398
VWE,SSP5,SP585,DE,Germany,2060,2237.6735375,100.062405,10.691742406648451
VWE,SSP5,SP585,EL,Greece,2025,1242.8830970833333,358.3578725,15.354759912100457
VWE,SSP5,SP585,EL,Greece,2026,1051.9646883333332,357.35033,16.086909628995436
VWE,SSP5,SP585,EL,Greece,2027,1083.223775,375.96631041666666,15.918526893835617
VWE,SSP5,SP585,EL,Greece,2028,1216.8459245833333,331.2551066666667,15.296263937841529
VWE,SSP5,SP585,EL,Greece,2029,984.6130795833333,388.78996333333333,16.227425638127855
VWE,SSP5,SP585,EL,Greece,2030,952.4700975,389.6536625,16.19586694063927
VWE,SSP5,SP585,EL,Greece,2035,1112.6059633333334,334.6463816666667,15.76133597260274
VWE,SSP5,SP585,EL,Greece,2040,1290.7123295833333,421.1757191666667,15.549068498406193
VWE,SSP5,SP585,EL,Greece,2045,953.7024283333333,392.54217083333333,16.372403212328766
VWE,SSP5,SP585,EL,Greece,2050,997.5213029166666,628.349655,17.377613752283104
VWE,SSP5,SP585,EL,Greece,2055,1117.57549375,526.6948058333334,16.587893910958904
VWE,SSP5,SP585,EL,Greece,2060,770.38519875,550.2539308333334,17.78526629553734
VWE,SSP5,SP585,HU,Hungary,2025,2235.4700204166666,136.427535,11.217969135844749
VWE,SSP5,SP585,HU,Hungary,2026,2078.9204104166665,154.5250675,11.831736997716895
VWE,SSP5,SP585,HU,Hungary,2027,1767.37928625,224.07290625,12.912697438356165
VWE,SSP5,SP585,HU,Hungary,2028,2217.1570395833332,174.45332541666667,11.436199500227685
VWE,SSP5,SP585,HU,Hungary,2029,2069.6908920833334,345.8702075,12.591799099315068
VWE,SSP5,SP585,HU,Hungary,2030,1743.0511595833334,332.30610125,13.483851633561642
VWE,SSP5,SP585,HU,Hungary,2035,1956.2620883333334,218.442895,12.518131392694064
VWE,SSP5,SP585,HU,Hungary,2040,2068.2943679166665,436.47954583333336,13.223655930100183
VWE,SSP5,SP585,HU,Hungary,2045,2069.170485,210.93429291666666,11.99997242237443
VWE,SSP5,SP585,HU,Hungary,2050,2041.0036858333333,419.80619958333335,13.11225639497717
VWE,SSP5,SP585,HU,Hungary,2055,2106.8694,199.5689075,11.842700138127853
VWE,SSP5,SP585,HU,Hungary,2060,1784.7855533333334,333.18567,13.431743823998179
VWE,SSP5,SP585,IE,Ireland,2025,2005.2003520833334,0.0,10.206737302511415
VWE,SSP5,SP585,IE,Ireland,2026,1919.45549,1.5335849999999995,10.54123993150685
VWE,SSP5,SP585,IE,Ireland,2027,1991.8337675,0.20011000000000045,10.287230349315069
