nuts0,country,year,month,tas,hdd,cdd,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
PT,Portugal,1996,9,290.4745089110628,24.18529231881298,12.225962120821427,301.5786655804841,295.00435221881565,290.88764662569065,290.39465333425323,286.71097401144,283.23706153051546
PT,Portugal,1996,10,288.44052761527547,48.65332464276171,3.1616595522485125,296.8408734275612,292.11739547151865,285.286283278353,290.24122407722155,285.6744624282413,280.50903763472627
PT,Portugal,1996,11,282.0342979249271,197.07454373250425,0.0,288.974493116076,285.59529189908676,281.5433886576403,282.9660097431919,279.32819787812656,275.4670434139865
PT,Portugal,1996,12,282.46241506485995,189.93123152380412,0.0,290.60754527222514,285.68935395766687,279.0802837056126,285.75318683664824,280.1091519757783,271.5644107912578
PT,Portugal,1997,1,281.64675648633283,215.9147824564977,0.0,288.85359645188714,284.8154838247206,280.8174480682203,284.85583077470545,279.2081996292689,273.93319553271823
PT,Portugal,1997,2,281.92620100649776,184.47358029494373,0.0,290.73493178575166,286.47808522064804,281.35269344327185,283.15545224342145,278.5491233659065,274.7772428920751
PT,Portugal,1997,3,284.96305126405025,118.63094310367644,0.2692047768374152,294.20899614211265,289.6470259996142,284.8447469445073,284.3212987534794,281.1874662306565,277.5926146817957
PT,Portugal,1997,4,284.8765189879076,119.4636216073733,0.7296274398751914,296.5868062710498,288.2974869039553,284.3316740967167,285.17914091826736,281.83845900427343,278.26893049609805
PT,Portugal,1997,5,289.973225190825,45.90008409416754,22.073670696415583,302.68568032405585,294.72984015490454,285.3362924288962,291.35519261395507,285.62212484136444,279.2565482260899
PT,Portugal,1997,6,294.736817222842,5.7572942466092805,60.68203930570749,306.7771821138964,300.1411349333813,290.8205282461877,294.6512217505935,289.8692644263986,283.8072933356038
PT,Portugal,1997,7,293.03138300053604,9.840771674135864,38.84927948811071,304.1990768180673,298.7175505337704,293.4327160544334,293.03688232450554,288.1328580739577,285.53761534534107
PT,Portugal,1997,8,293.93894756021496,7.651780946110905,52.970042880863765,304.7505199480682,299.8824410901738,293.301058547903,292.0289942076745,288.8669307199922,285.28994647014616
PT,Portugal,1997,9,292.7251610059029,12.416605597778911,32.38090179292377,304.2960297582946,297.7413432749887,289.95186433964443,291.8953990048921,288.6043262377473,282.03049005891415
