nuts0,country,year,hdd_annual,cdd_annual,tas_annual
EE,Estonia,2003,3894.732974650488,10.691237658267319,278.3657489930412
EE,Estonia,2004,3702.316575996171,11.216149718560898,279.0127493201153
EE,Estonia,2005,3578.5580753373456,5.785945153952185,279.2827716710349
EE,Estonia,2006,3345.4739644061065,9.951279011287838,280.03170945695996
EE,Estonia,2007,3773.4085595348106,11.468595232237337,278.8694364012787
EE,Estonia,2008,3549.739884930531,8.63956582947982,279.32766143761233
EE,Estonia,2009,3230.6387212990303,21.78456209406641,280.4654150080411
EE,Estonia,2010,4183.829609608942,34.23203753413074,278.02717956547565
EE,Estonia,2011,3111.193697257532,43.28752935842451,281.04299523464925
EE,Estonia,2012,3382.6113151448867,2.0948734260610435,279.6976447822295
EE,Estonia,2013,3463.7995178314313,33.40162605601727,280.01141910742354
EE,Estonia,2014,3336.210501352917,14.964201660491373,280.13585862891136
EE,Estonia,2015,3837.6205237357744,27.31745928359983,278.86398630686057
EE,Estonia,2016,3823.2533426085593,30.68950677723558,278.88146312547053
EE,Estonia,2017,3726.373518855676,9.890463185842552,278.94209348208074
EE,Estonia,2018,3363.03987866809,12.49575333311456,280.09634522684945
EE,Estonia,2019,3221.4978047633576,18.45481386529448,280.5795994260896
EE,Estonia,2020,4067.2093136508897,20.770565568540434,278.06302077028556
EE,Estonia,2021,4120.213350901822,16.762077169598705,277.9974253738126
EE,Estonia,2022,3000.11919502425,12.463723944527349,281.03160274163497
EE,Estonia,2023,2920.3466435172477,24.801314394629607,281.51624588653596
EE,Estonia,2024,3454.1626119788034,3.7001020466673964,279.53410570350275
EE,Estonia,2025,3466.778435340972,2.1284322918355265,279.51530451335003
EE,Estonia,2026,3637.8940975113537,25.88352972437896,279.3617801245954
EE,Estonia,2027,4034.851449271032,4.759826970571366,277.8998310067665
EE,Estonia,2028,3648.728328759065,20.06723109843598,279.32673317539434
EE,Estonia,2029,3074.866834717426,9.943670507855284,280.7686872204262
EE,Estonia,2030,3031.1933577155796,33.53760308357772,281.2113126398185
EE,Estonia,2031,2773.7433863633037,9.207292603368451,281.5663399151774
EE,Estonia,2032,3432.1218729984466,26.225519673652734,279.994380943999
EE,Estonia,2033,3494.1104690353245,33.68347095227606,279.8136764067133
EE,Estonia,2034,2987.5608338747297,13.81647194859208,281.05840612666424
EE,Estonia,2035,3446.1024838117332,31.64816015891806,280.06232891817774
EE,Estonia,2036,3466.4797874799974,30.2232772514393,279.99805338455855
EE,Estonia,2037,3044.449215761457,1.9223578108402983,280.6259344563341
EE,Estonia,2038,3183.3063138382786,6.740529273441322,280.3943590152356
EE,Estonia,2039,2648.3644399613827,51.982047775723046,282.67899842249284
EE,Estonia,2040,3469.239661473591,4.022508206571092,279.4847417706747
EE,Estonia,2041,3326.892864913236,26.373628034027853,280.355670863127
EE,Estonia,2042,3103.0745503682774,37.432801490619404,281.07011252781734
EE,Estonia,2043,3056.494023152117,17.285632661929984,280.95399987617753
EE,Estonia,2044,3544.3267075363724,49.3503170900394,280.0150530154008
EE,Estonia,2045,3177.4622716794615,13.28009197865525,280.7090672879321
EE,Estonia,2046,3607.8913528852872,13.473273307555317,279.45045773021735
EE,Estonia,2047,3824.5035014436417,35.780246682113216,279.1021993932556
EE,Estonia,2048,3304.8193576931694,47.29081202440378,280.61571717913387
EE,Estonia,2049,3968.6393425936085,48.58208373654606,278.6186838842689
EE,Estonia,2050,2948.90944866947,18.207223116721696,281.23055580296904
EE,Estonia,2051,3367.690124107719,18.822371249092285,280.1430039633448
EE,Estonia,2052,3382.9300173222355,17.217337049879134,280.07065498753076
EE,Estonia,2053,3847.248121557184,7.614427978438389,278.5083392948983
EE,Estonia,2054,3091.8369273133458,1.991363607834474,280.5651706068931
EE,Estonia,2055,3762.3761470091777,7.438166446956217,278.77429573791517
